时间,发电量,光照强度,温度,time_cos,time_sin,湿度
2019/6/1 0:00,0,0,21.08,1,0,88.1
2019/6/1 1:00,0,0,21.52,0.965925826,0.258819045,80.52
2019/6/1 2:00,0,0,20.97,0.866025404,0.5,85.68
2019/6/1 3:00,0,0,20.61,0.707106781,0.707106781,82.41
2019/6/1 4:00,0,0,21.34,0.5,0.866025404,75.68
2019/6/1 5:00,0,0,20.7,0.258819045,0.965925826,82.63
2019/6/1 6:00,96.4734,68.53,20.61,6.12E-17,1,85.62
2019/6/1 7:00,242.2946,183.93,21.75,-0.258819045,0.965925826,82.17
2019/6/1 8:00,453.8251,431.7,24.37,-0.5,0.866025404,68.62
2019/6/1 9:00,669.4668,625.39,26.11,-0.707106781,0.707106781,56.06
2019/6/1 10:00,870.2149,746.08,27.3,-0.866025404,0.5,40.26
2019/6/1 11:00,960.7038,993.9,28.17,-0.965925826,0.258819045,34.47
2019/6/1 12:00,1052.9747,1008.19,28.87,-1,1.22E-16,32.84
2019/6/1 13:00,795.0786,739.23,29.36,-0.965925826,-0.258819045,27.84
2019/6/1 14:00,581.1455,601.04,29,-0.866025404,-0.5,24.88
2019/6/1 15:00,411.7645,528.53,28.97,-0.707106781,-0.707106781,27.02
2019/6/1 16:00,216.9417,235.19,28.45,-0.5,-0.866025404,35.02
2019/6/1 17:00,164.8458,137.42,27.39,-0.258819045,-0.965925826,36.65
2019/6/1 18:00,80.688,81.13,26.71,-1.84E-16,-1,36.08
2019/6/1 19:00,4.2662,19.87,25.48,0.258819045,-0.965925826,39.88
2019/6/1 20:00,0,0,24.2,0.5,-0.866025404,48.47
2019/6/1 21:00,0,0,23.12,0.707106781,-0.707106781,52.77
2019/6/1 22:00,0,0,22.53,0.866025404,-0.5,50.69
2019/6/1 23:00,0,0,22.1,0.965925826,-0.258819045,55.93
2019/6/2 0:00,0,0,20.95,1,-2.45E-16,61.05
2019/6/2 1:00,0,0,20.42,0.965925826,0.258819045,65.54
2019/6/2 2:00,0,0,20,0.866025404,0.5,70.27
2019/6/2 3:00,0,0,19.59,0.707106781,0.707106781,73.83
2019/6/2 4:00,0,0,19.23,0.5,0.866025404,81.72
2019/6/2 5:00,0,0,18.7,0.258819045,0.965925826,88.56
2019/6/2 6:00,93.1625,77.56,19.5,1.19E-15,1,88.92
2019/6/2 7:00,293.5272,318.32,21.04,-0.258819045,0.965925826,82
2019/6/2 8:00,552.2496,550.64,22.89,-0.5,0.866025404,75.35
2019/6/2 9:00,763.9993,738.39,24.86,-0.707106781,0.707106781,65.52
2019/6/2 10:00,910.3447,899.83,26.98,-0.866025404,0.5,53.23
2019/6/2 11:00,1017.5859,997.01,28.54,-0.965925826,0.258819045,46.18
2019/6/2 12:00,1036.1735,1083.29,29.43,-1,3.67E-16,37.62
2019/6/2 13:00,955.0426,1024.49,30.58,-0.965925826,-0.258819045,33.61
2019/6/2 14:00,856.13,891.8,31.65,-0.866025404,-0.5,32.81
2019/6/2 15:00,690.0769,710.39,31.38,-0.707106781,-0.707106781,31.25
2019/6/2 16:00,466.0068,535.83,31.83,-0.5,-0.866025404,28.65
2019/6/2 17:00,230.9421,360.89,31.3,-0.258819045,-0.965925826,31
2019/6/2 18:00,85.7637,124.68,30.79,-4.29E-16,-1,34.13
2019/6/2 19:00,5.8214,4.58,28.84,0.258819045,-0.965925826,38.45
2019/6/2 20:00,0,0,27.46,0.5,-0.866025404,44.98
2019/6/2 21:00,0,0,25.84,0.707106781,-0.707106781,57.12
