year,month,day,hour,发电量,光照强度,温度,湿度
2019,6,1,0,0.0,0.0,21.08,88.1
2019,6,1,1,0.0,0.0,21.52,80.52
2019,6,1,2,0.0,0.0,20.97,85.68
2019,6,1,3,0.0,0.0,20.61,82.41
2019,6,1,4,0.0,0.0,21.34,75.68
2019,6,1,5,0.0,0.0,20.7,82.63
2019,6,1,6,96.4734,68.53,20.61,85.62
2019,6,1,7,242.2946,183.93,21.75,82.17
2019,6,1,8,453.8251,431.7,24.37,68.62
2019,6,1,9,669.4668,625.39,26.11,56.06
2019,6,1,10,870.2149,746.08,27.3,40.26
2019,6,1,11,960.7038,993.9,28.17,34.47
2019,6,1,12,1052.9747,1008.19,28.87,32.84
2019,6,1,13,795.0786,739.23,29.36,27.84
2019,6,1,14,581.1455,601.04,29.0,24.88
2019,6,1,15,411.7645,528.53,28.97,27.02
2019,6,1,16,216.9417,235.19,28.45,35.02
2019,6,1,17,164.8458,137.42,27.39,36.65
2019,6,1,18,80.688,81.13,26.71,36.08
2019,6,1,19,4.2662,19.87,25.48,39.88
2019,6,1,20,0.0,0.0,24.2,48.47
2019,6,1,21,0.0,0.0,23.12,52.77
2019,6,1,22,0.0,0.0,22.53,50.69
2019,6,1,23,0.0,0.0,22.1,55.93
2019,6,2,0,0.0,0.0,20.95,61.05
2019,6,2,1,0.0,0.0,20.42,65.54
2019,6,2,2,0.0,0.0,20.0,70.27
2019,6,2,3,0.0,0.0,19.59,73.83
2019,6,2,4,0.0,0.0,19.23,81.72
2019,6,2,5,0.0,0.0,18.7,88.56
2019,6,2,6,93.1625,77.56,19.5,88.92
2019,6,2,7,293.5272,318.32,21.04,82.0
2019,6,2,8,552.2496,550.64,22.89,75.35
2019,6,2,9,763.9993,738.39,24.86,65.52
2019,6,2,10,910.3447,899.83,26.98,53.23
2019,6,2,11,1017.5859,997.01,28.54,46.18
2019,6,2,12,1036.1735,1083.29,29.43,37.62
2019,6,2,13,955.0426,1024.49,30.58,33.61
2019,6,2,14,856.13,891.8,31.65,32.81
2019,6,2,15,690.0769,710.39,31.38,31.25
2019,6,2,16,466.0068,535.83,31.83,28.65
2019,6,2,17,230.9421,360.89,31.3,31.0
2019,6,2,18,85.7637,124.68,30.79,34.13
2019,6,2,19,5.8214,4.58,28.84,38.45
2019,6,2,20,0.0,0.0,27.46,44.98
2019,6,2,21,0.0,0.0,25.84,57.12
2019,6,2,22,0.0,0.0,24.8,63.13
2019,6,2,23,0.0,0.0,23.77,65.32
2019,6,3,0,0.0,0.0,22.81,68.86
2019,6,3,1,0.0,0.0,22.59,71.13
2019,6,3,2,0.0,0.0,21.82,74.54
2019,6,3,3,0.0,0.0,21.6,77.34
2019,6,3,4,0.0,0.0,21.15,80.3
2019,6,3,5,0.0,0.0,20.5,86.8
2019,6,3,6,91.471,96.88,20.68,89.77
2019,6,3,7,273.0939,304.86,22.8,82.81
2019,6,3,8,528.558,538.64,24.86,73.33
2019,6,3,9,729.2434,737.94,27.35,65.46
2019,6,3,10,885.6712,898.77,29.22,58.61
2019,6,3,11,945.8758,1017.84,30.98,49.26
2019,6,3,12,983.8555,1099.72,32.17,39.77
2019,6,3,13,954.781,1036.33,33.15,31.34
2019,6,3,14,837.904,886.37,33.31,37.39
2019,6,3,15,684.4214,682.01,33.7,31.66
2019,6,3,16,460.3705,557.33,34.01,29.85
2019,6,3,17,219.9403,353.83,33.52,31.98
2019,6,3,18,73.6845,117.97,32.79,34.2
2019,6,3,19,2.2868,1.6,30.93,38.79
2019,6,3,20,0.0,0.0,29.61,39.56
2019,6,3,21,0.0,0.0,27.57,53.02
2019,6,3,22,0.0,0.0,26.9,48.9
2019,6,3,23,0.0,0.0,26.0,46.66
2019,6,4,0,0.0,0.0,25.4,50.36
2019,6,4,1,0.0,0.0,24.93,55.04
2019,6,4,2,0.0,0.0,24.03,65.69
2019,6,4,3,0.0,0.0,23.0,72.35
2019,6,4,4,0.0,0.0,22.2,83.28
2019,6,4,5,0.0,0.0,22.21,87.75
2019,6,4,6,102.3499,104.7,22.41,90.85
2019,6,4,7,216.8226,211.95,24.0,85.46
2019,6,4,8,485.0698,518.12,26.48,74.23
2019,6,4,9,702.6306,696.23,28.77,64.16
2019,6,4,10,854.4303,895.18,30.33,56.76
2019,6,4,11,953.8232,999.35,31.89,51.06
2019,6,4,12,972.9357,1029.43,33.02,44.97
2019,6,4,13,925.8527,997.98,33.82,44.41
